CustomProperty,CustomPropertyDefinition,EntityType,CommonProperty,CommonPropertyDefinition,PSET,datatype,InitialScore,Score,ManualScore,P1 Aspects 1,P1 Aspects 2,P2 Aspects 1,P2 Aspects 2,IsUnitSame,Aspect Overlap,Suggest Score
end offset,the surface at either extremity of a three-dimensional objectstructure where a wall or building narrows abruptly,IfcBeam,ReinforcementAreaRatio,The required ratio of the effective area of the reinforcement to the effective area of the concrete At any section of a reinforced concrete structural element.,Pset_ConcreteElementGeneral,IfcAreaDensityMeasure,0.369939923,1.849699615,1,Position and Topology ,,Structural Properties,Geometry,Different,Not Equivalent,1
frame material," a rigid structure that supports a building or other built asset such as a bridge or tunnel, or parts of them.Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand, and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes.",IfcDoor,MechanicalLoadRating,"Mechanical load rating for this object.
It is provided according to the national building code.",Pset_DoorCommon,IfcLabel,0.323121399,1.615606995,1,Material and Finish,Structural Properties,Structural Properties,,Different,Partial Equivalent,2
phase,A phase represents a grouping of similar activities that has a very loosely defined beginning and end. ,IfcSpace,AirSideSystemDistributionType,"This enumeration defines the basic types of air side systems (e.g., SingleDuct, DualDuct, Multizone, etc.).",Pset_AirSideSystemInformation,ENUM,0.322996348,1.61498174,1,Project Information,,Facility Information,,Different,Not Equivalent,1
bar code,"A barcode or bar code is a method of representing data in a visual, machine-readable form. Initially, barcodes represented data by varying the widths and spacings of parallel lines. These barcodes, now commonly referred to as linear or one-dimensional (1D), can be scanned by special optical scanners, called barcode readers, of which there are several types. Later, two-dimensional (2D) variants were developed, using rectangles, dots, hexagons and other patterns, called matrix codes or 2D barcodes, although they do not use bars as such. 2D barcodes can be read using purpose-built 2D optical scanners, which exist in a few different forms. 2D barcodes can also be read by a digital camera connected to a microcomputer running software that takes a photographic image of the barcode and analyzes the image to deconstruct and decode the 2D barcode. A mobile device with an inbuilt camera, such as smartphone, can function as the latter type of 2D barcode reader using specialized application software. (The same sort of mobile device could also read 1D barcodes, depending on the application software.)",IfcWall,ConcreteCover,The protective concrete cover at the reinforcing bars according to local building regulations.,Pset_ConcreteElementGeneral,IfcPositiveLengthMeasure,0.281373382,1.40686691,1.5,Identity,,Structural Properties,,"Same,Different Constrain",Not Equivalent,1
coarse scale fill pattern,"rough or harsh in texture.n very general terms 'scale' refers to an item's size in relationship to something else. For example, the components of a building may be designed so they are at a human scale, ie they are comfortable to use, are functional and anthropometric, or manufacturing can be carried out at scale, rather than for one-offs.To fill is defined as to put as much as possible or to occupy.Pattern in architecture is the idea of capturing architectural design ideas as archetypal and reusable descriptions. ... The term pattern in this context is usually attributed to Christopher Alexander, an Austrian born American architect. The patterns serve as an aid to design cities and buildings.",IfcWall,HollowCorePlugging,"A descriptive label for how the hollow core ends are treated: they may be left open, closed with a plug, or sealed with cast concrete. Values would be, for example: 'Unplugged', 'Plugged', 'SealedWithConcrete'. This property applies to  hollow core slabs only.",Pset_PrecastConcreteElementGeneral,IfcLabel,0.410855353,2.054276765,2.6,Identity,,Identity,,Different,Fully Equivalent,3
name,a language unit by which a person or thing is known,IfcSpace,NetPerimeter,Net perimeter at the floor level of this space. It excludes those parts of the perimeter that are created by by virtual boundaries and openings (like doors). It is the measurement used for skirting boards and may includes the perimeter of internal fixed objects like columns.,Qto_SpaceBaseQuantities,ENUM,0.265821546,1.32910773,0.5,Identity,,Geometry,,Different,Not Equivalent,1
volume,"The term volume generally refers to a measurement of a three-dimensional shape that is enclosed by a closed surface. It is used to specify the amount of space that a substance such as a solid, liquid or gas occupies.",IfcWall,NetVolume,"Volume of the wall, after subtracting the openings and after considering the connection geometry. ",Qto_WallBaseQuantities,ENUM,0.456330895,2.281654475,4.5,Geometry,,Geometry,,"Same,Different Constrain",Fully Equivalent,4
bottom vertical projection,the lower side of anythingat right angles to the plane of the horizon or a base linethe representation of a figure or solid on a plane as it would look from a particular direction,IfcColumn,Slope,"Slope angle - relative to horizontal (0.0 degrees).

The shape information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the shape properties, provided in the attached property, the geometric parameters take precedence.   For geometry editing applications, like CAD: this value should be write-only.",Pset_ColumnCommon,IfcPlaneAngleMeasure,0.349003583,1.745017915,0.5,Software-dependent Analytics,,Position and Topology ,,Different,Not Equivalent,1
glass pane material,The material for the glass panes in the window.,IfcWindow,ThermalTransmittance,"Thermal transmittance coefficient (U-Value) of a material.
It applies to the total door construction.",Pset_WindowCommon,IfcThermalTransmittanceMeasure,0.29058969,1.45294845,1,Material and Finish,Structural Properties,Facility Information,,Different,Not Equivalent,1
cross section rotation,"""cross section, also simply called a section, represents a vertical plane cut through the object, in the same way as a floor plan is a horizontal section viewed from the top. a transformation in which the coordinate axes are rotated by a fixed angle about the origin""",IfcBeam,OuterSurfaceArea,"Total area of the extruded surfaces of the beam (not taking into account the end cap areas), normally generated as perimeter * length.",Qto_BeamBaseQuantities,ENUM,0.422927678,2.11463839,1.5,Position and Topology ,,Geometry,,Different,Not Equivalent,1
analyze as,Used by external analysis applications to determine whether beam conditions contribute to Gravity or Lateral analysis.,IfcBeam,CrossSectionArea,Total area of the cross section (or profile) of the beam.,Qto_BeamBaseQuantities,ENUM,0.4029392,2.014696,1.5,Software-dependent Analytics,Structural Properties,Geometry,,Different,Not Equivalent,1
unconnected height,"The height of the wall when it is sketched, measured upwards from its base.",IfcWall,Length,Total nominal length of the wall along the wall center line (even if different to the wall path).,Qto_WallBaseQuantities,ENUM,0.559050083,2.795250415,3.5,Geometry,,Geometry,,Different,Fully Equivalent,3
up label,extending or moving toward a higher placean identifying or descriptive marker that is attached to an object,IfcStair,FireExit,"Indication whether this object is designed to serve as an exit in the case of fire (TRUE) or not (FALSE).
Here it defines an exit stair in accordance to the national building code.",Pset_StairCommon,IfcBoolean,0.388932675,1.944663375,1,Position and Topology ,Software-dependent Analytics,Sustaibility,Project Information,Different,Not Equivalent,1
glass pane material,The material for the glass panes in the window.,IfcWindow,HasSillInternal,Indication whether the window opening has an internal sill (TRUE) or not (FALSE).,Pset_WindowCommon,IfcBoolean,0.367316425,1.836582125,2,Material and Finish,Structural Properties,Structural Properties,,Different,Partial Equivalent,2
total thickness,the whole number or amount of something.the dimension through an object as opposed to its length or width,IfcCovering,Width,"Nominal width (or thickness) of the plate. Only given, if the covering is prismatic (constant thickess). ",Qto_CoveringBaseQuantities,ENUM,0.406300545,2.031502725,4.5,Geometry,,Geometry,,"Same,Different Constrain",Fully Equivalent,4
desired number of riser,The number of risers is calculated based on the height between levels.,IfcStair,NumberOfRiser,Total number of the risers included in the stair.,Pset_StairCommon,IfcLabel,0.203267589,1.016337946,5,Position and Topology ,,Position and Topology ,,"Same,Same Constrain",Fully Equivalent,5
structural usage,The structural usage parameter value determines the line style of the beam in a coarse-scale view. Use the Object Styles dialog to change the default styles of structural usage. Beams also have a structural usage as the chords of a structural truss.,IfcWall,HollowCorePlugging,"A descriptive label for how the hollow core ends are treated: they may be left open, closed with a plug, or sealed with cast concrete. Values would be, for example: 'Unplugged', 'Plugged', 'SealedWithConcrete'. This property applies to  hollow core slabs only.",Pset_PrecastConcreteElementGeneral,IfcLabel,0.358560711,1.792803555,2.45,Structural Properties,,Structural Properties,Identity,Different,Partial Equivalent,2
stringer carriage height,"Controls the relationship between the side stringers and treads. If you increase the number, the stringer moves down from the treads. Treads do not move. ",IfcStair,WalkingLineOffset,"Offset of the walking line from the inner side of the flight. 
Note: the walking line may have a own shape representation (in case of inconsistencies, the value derived from the shape representation shall take precedence).",Pset_StairCommon,IfcPositiveLengthMeasure,0.34158653,1.70793265,3.3,Geometry,Position and Topology ,Geometry,Position and Topology ,Different,Fully Equivalent,3
category description,"a collection of things sharing a common attributeDescription is the pattern of narrative development that aims to make vivid a place, object, character, or group.[1] Description is one of four rhetorical modes (also known as modes of discourse), along with exposition, argumentation, and narration.[2] In practice it would be difficult to write literature that drew on just one of the four basic modes.[3]",IfcSpace,WallCoveringThickness,"Thickness of the material layer(s) for the space cladding.  

The thickness information is provided in absence of an IfcCovering (type=CLADDING) object with own shape representation. In cases of inconsistency between the geometric parameters of an assigned IfcCovering and this attached property, the geometric parameters take precedence.",Pset_SpaceCoveringRequirements,IfcPositiveLengthMeasure,0.327430964,1.63715482,1,Identity,,Geometry,,Different,Not Equivalent,1
symbol at end 2 default,Places a bubble by default at the right end of the level line.,IfcBuildingStorey,TotalCoolingLoad,"The peak total cooling load for the building, zone or space.",Pset_ThermalLoadAggregate,IfcPowerMeasure,0.272957206,1.364786029,1,Software-dependent Analytics,Position and Topology ,Facility Information,,Different,Not Equivalent,1
warranty description,"A warranty is a representation made by one party upon which another party may rely. It is not the same as a guarantee (which is a promise to stand for the debt of another) even though many contracts use the terms interchangeably. Warranties may be express (written in the contract or stated orally), implied (by the common law) or statutory (set forth in a state s statutes).Description is the pattern of narrative development that aims to make vivid a place, object, character, or group.[1] Description is one of four rhetorical modes (also known as modes of discourse), along with exposition, argumentation, and narration.[2] In practice it would be difficult to write literature that drew on just one of the four basic modes.[3]",IfcWall,WarrantyIdentifier,The identifier assigned to a warranty.,Pset_Warranty,IfcIdentifier,0.388324678,1.94162339,3.5,Project Information,,Identity,Project Information,"Same,Different Constrain",Partial Equivalent,3
chord thickness,"a principal member of a truss extending from end to end, usually one of a pair of such members, more or less parallel and connected by a web composed of various compression and tension members.the dimension through an object as opposed to its length or width",IfcBeam,GrossWeight,"Total gross weight of the beam without add-on parts, not taking into account possible processing features (cut-out's, etc.) or openings and recesses.",Qto_BeamBaseQuantities,ENUM,0.328456908,1.64228454,1.5,Structural Properties,Geometry,Geometry,,Different,Partial Equivalent,2
limit offset,the Limit Offset is the distance between levels ,IfcSpace,NetCeilingArea,"Sum of all ceiling areas of the space. It excludes the area covered by elementsinside the space (columns, inner walls, etc.). The ceiling area is the real (and not the projected) area (e.g. in case of sloped ceilings).",Qto_SpaceBaseQuantities,ENUM,0.390692919,1.953464595,2.3,Position and Topology ,Geometry,Geometry,,Different,Partial Equivalent,2
relate to mass,Indicates that the element was created from a mass element. This is a read-only value.,IfcWall,Eutrophication,Quantity of eutrophicating compounds calculated in equivalent PO4.,Pset_EnvironmentalImpactValues,IfcMassMeasure,0.355776668,1.77888334,0.5,Software-dependent Analytics,,Structural Properties,,Different,Not Equivalent,1
start extension calculation,Applies to steel beams only. Specifies family parameters; defines maximum distance of start extension parameter.,IfcBeam,ReleaseStrength,The minimum required compressive strength of the concrete when the tendon stress is released. This property applies to prestressed concrete elements only.,Pset_PrecastConcreteElementGeneral,IfcPressureMeasure,0.409635723,2.048178613,1,Geometry,,Structural Properties,,Different,Not Equivalent,1
level,"Defining different building levels is a way to analyse buildings by breaking them down into successively smaller or simpler units, e.g. into elements, components and materials.",IfcCovering,LifeCyclePhase,The whole life cycle or only a given phase  from which environmental data are valid.,Pset_EnvironmentalImpactIndicators,ENUM,0.310971618,1.55485809,1,Position and Topology ,,Sustaibility,,Different,Not Equivalent,1
text size,the main body of a written work (as distinct from illustrations or footnotes etc.)the physical magnitude of something,IfcStair,PieceMark,"Defines a unique piece for production purposes. All pieces with the same piece mark value are identical and interchangeable. The piece mark may be composed of sub-parts that have specific locally defined meaning (e.g. B-1A may denote a beam, of generic type  1 and specific shape   ).",Pset_PrecastConcreteElementFabrication,IfcLabel,0.354864895,1.774324475,1.5,Software-dependent Analytics,,Identity,Position and Topology ,Different,Not Equivalent,1
up text,extending or moving toward a higher placethe main body of a written work (as distinct from illustrations or footnotes etc.),IfcStair,TreadLengthAtOffset,"Length of treads at a given offset.
Walking line position is given by the 'WalkingLineOffset'. The resulting value should normally be identical with TreadLength, it may be given in addition, if the walking line offset for building code calculations is different from that used in design.",Pset_StairCommon,IfcPositiveLengthMeasure,0.245388776,1.22694388,2,Position and Topology ,Software-dependent Analytics,Geometry,Position and Topology ,Different,Partial Equivalent,2
rebar cover exterior face,"Rebar, also known as reinforcement steel and reinforcing steel, is a steel bar or mesh of steel wires used in reinforced concrete and masonry structures to strengthen and hold the concrete in tension. To improve the quality of the bond with the concrete, the surface of rebar is often patternedCover refers to the distance between the outside of a concrete structure and the reinforcement.the region that is outside of somethingBuilding face means the general outer surface of any exterior wall of a building or other structure",IfcWall,ConcreteCoverAtLinks,The protective concrete cover at the reinforcement links according to local building regulations.,Pset_ConcreteElementGeneral,IfcPositiveLengthMeasure,0.51707685,2.58538425,3.5,Structural Properties,,Structural Properties,,"Same,Different Constrain",Fully Equivalent,4
top constraint,Wall height extends to the value specified in Unconnected Height.,IfcWall,NetSideArea,Area of the wall as viewed by an elevation view of the middle plane. It does take into account all wall modifications (such as openings). ,Qto_WallBaseQuantities,ENUM,0.390365005,1.951825025,2.2,Geometry,,Geometry,Software-dependent Analytics,Different,Partial Equivalent,2
slope,"The incline angle of a roof surface, given as a ratio of the rise (in inches) to the run (in feet). See also pitch.",IfcBeam,WaterConsumption,Quantity of water used.,Pset_EnvironmentalImpactValues,IfcVolumeMeasure,0.321023464,1.60511732,0.6,Geometry,,Sustaibility,,Different,Not Equivalent,1
span,"In structural engineering and architecture, span is the term given to the length of a structural component  eg beam, floor, roof or floor truss  that extends (or spans) between two supports. Thus, a beam may be supported at either end, in which case it is said to span between the two points, and a floor may span between two (or three or even four) continuous supports.",IfcBeam,NetSurfaceArea,"Net surface area of the beam, normally generated as perimeter * length + 2 * cross section area taking into account possible processing features (cut-out's, etc.) or openings and recesses. ",Qto_BeamBaseQuantities,ENUM,0.455595523,2.277977616,3,Geometry,,Geometry,,Different,Fully Equivalent,3
start attachment type,Either End Elevation or Distance. Specifies the attachment orientation at the start position of the beam. End Elevation (default) orients the start position at the placement level of the beam. Distance orients the start position to the join location on a column. See About Adjusting the Beam Elevation at Column Join.,IfcBeam,Roll,"Rotation against the longitudinal axis - relative to the global Z direction for all beams that are non-vertical in regard to the global coordinate system (Profile direction equals global Z is Roll = 0.)

The shape information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the shape properties, provided in the attached property, the geometric parameters take precedence.  For geometry editing applications, like CAD: this value should be write-only.

Note: new property in IFC4",Pset_BeamCommon,IfcPlaneAngleMeasure,0.439608812,2.198044062,1.5,Geometry,,Position and Topology ,,Different,Not Equivalent,1
enable analytical model,"render capable or able for some taskAnalytical Model. A representation of the structural physical model consisting of analytical elements, geometry, material properties, and loads. It is created automatically while creating the physical model. ",IfcWall,AssemblyPlace,"Enumeration defining where the assembly is intended to take place, either in a factory, other offsite location or on the building site.",Pset_ManufacturerOccurrence,ENUM,0.321579486,1.60789743,1,Software-dependent Analytics,,Project Information,,Different,Not Equivalent,1
constituent,"constituent construction product is:  A manufacturer specific construction product (i.e. with a manufacturer reference number) that is not specified by the designer or selected by the constructor, but is used in the manufacture of a specified construction product. ",IfcWall,ProductionLotId,The manufacturer's production lot identifier.,Pset_PrecastConcreteElementFabrication,IfcIdentifier,0.49954164,2.4977082,2,Project Information,,Identity,Project Information,Different,Partial Equivalent,2
up text,extending or moving toward a higher placethe main body of a written work (as distinct from illustrations or footnotes etc.),IfcStair,TreadLength,"Horizontal distance from the front of the thread to the front of the next tread. 
The tread length is supposed to be equal for all steps of the stair or stair flight at the walking line.",Pset_StairCommon,IfcPositiveLengthMeasure,0.258317232,1.29158616,2,Position and Topology ,Software-dependent Analytics,Geometry,Position and Topology ,Different,Partial Equivalent,2
span,"In structural engineering and architecture, span is the term given to the length of a structural component  eg beam, floor, roof or floor truss  that extends (or spans) between two supports. Thus, a beam may be supported at either end, in which case it is said to span between the two points, and a floor may span between two (or three or even four) continuous supports.",IfcBeam,OuterSurfaceArea,"Total area of the extruded surfaces of the beam (not taking into account the end cap areas), normally generated as perimeter * length.",Qto_BeamBaseQuantities,ENUM,0.409293473,2.046467364,1.6,Geometry,,Geometry,,Different,Fully Equivalent,3
chord thickness,"a principal member of a truss extending from end to end, usually one of a pair of such members, more or less parallel and connected by a web composed of various compression and tension members.the dimension through an object as opposed to its length or width",IfcBeam,Shortening,The ratio of the distance by which a precast piece is shortened after release from its form (due to compression induced by prestressing) to its original (nominal) length.,Pset_PrecastConcreteElementGeneral,IfcRatioMeasure,0.377235025,1.886175125,2.5,Structural Properties,Geometry,Structural Properties,Geometry,Different,Fully Equivalent,3
shape,Shape is a two dimesional area confined by a actual line or implied line (an edge for example). In drawing shapes are created when the ends of lines are joined to enclose areas.,IfcWall,GrossVolume,"Volume of the wall, without taking into account the openings and the connection geometry.",Qto_WallBaseQuantities,ENUM,0.384481907,1.922409535,3.5,Geometry,,Geometry,,Different,Fully Equivalent,3
base offset,The wall's height from its base constraint. This property is available only when the Base Constraint is set to a level.,IfcWall,Height,"Total nominal height of the wall. It should only be provided, if it is constant along the wall path. ",Qto_WallBaseQuantities,ENUM,0.620885134,3.10442567,4,Geometry,,Geometry,,"Same,Different Constrain",Fully Equivalent,4
room tag,"Room tags can display values for related parameters, such as room number, room name, computed area, and volume.",IfcSpace,SkirtingBoard,"Label to indicate the material or construction of the skirting board around the space flooring. The label is used for room book information.

The material information is provided in absence of an IfcCovering (type=SKIRTINGBOARD) object with own shape representation and material assignment. In case of inconsistency the material assigned to IfcCovering elements takes precedence.",Pset_SpaceCoveringRequirements,IfcLabel,0.476531059,2.382655295,2.1,Identity,,Identity,Material and Finish,Different,Partial Equivalent,2
material,"Building material is material used for construction. Many naturally occurring substances, such as clay, rocks, sand, and wood, even twigs and leaves, have been used to construct buildings. Apart from naturally occurring materials, many man-made products are in use, some more and some less synthetic. The manufacturing of building materials is an established industry in many countries and the use of these materials is typically segmented into specific specialty trades, such as carpentry, insulation, plumbing, and roofing work. They provide the make-up of habitats and structures including homes.",IfcWall,NonHazardousWastePerUnit,Quantity of non hazardous waste generated,Pset_EnvironmentalImpactIndicators,IfcMassMeasure,0.344729662,1.72364831,1,Material and Finish,,Sustaibility,Facility Information,Different,Not Equivalent,1
symbol,an arbitrary sign (written or printed) that has acquired a conventional significance,IfcBuildingStorey,EntranceLevel,"Indication whether this building storey is an entrance level to the building (TRUE), or (FALSE) if otherwise.",Pset_BuildingStoreyCommon,IfcBoolean,0.237079382,1.18539691,1.1,Identity,,Facility Information,,Different,Not Equivalent,1
rafter cut,"A rafter is a structural component that is used as part of a roof construction. Typically, it runs from the ridge or hip of the roof to the wall plate of the external wall. Rafters are generally laid in series, side by side, providing a base to support roof decks, roof coverings and so on.make an incision or separation",IfcRoof,BatterAtEnd,"The angle, in radians, by which the formwork at the ending face of a piece is to be rotated from the vertical in order to compensate for the rotation of the face that will occur once the piece is stripped from its form, inducing camber due to eccentric prestressing.",Pset_PrecastConcreteElementGeneral,IfcPlaneAngleMeasure,0.360082924,1.80041462,1,Structural Properties,,Position and Topology ,,Different,Not Equivalent,1
text font,the main body of a written work (as distinct from illustrations or footnotes etc.)a specific size and style of type within a type family,IfcStair,TypeDesignator,"Type designator for the precast concrete element. The content depends on local standards. For instance in Finland it usually a one-letter acronym, e.g. P=Column, K=reinforced concrete beam,etc.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.37499851,1.87499255,1.4,Software-dependent Analytics,,Identity,Project Information,Different,Not Equivalent,1
stringer thickness,the structural member in a stairway that supports the treads and risers. the dimension through an object as opposed to its length or width,IfcStair,HandicapAccessible,"Indication that this object is designed to be accessible by the handicapped. 
Set to (TRUE) if this stair is rated as handicap accessible  according the local building codes, otherwise (FALSE). Accessibility maybe provided by additional means.",Pset_StairCommon,IfcBoolean,0.34853968,1.7426984,1,Geometry,Position and Topology ,Facility Information,,Different,Not Equivalent,1
head height,the top of somethingthe vertical dimension of extension; distance from the base of something to the top,IfcDoor,Area,Total area of the outer lining of the door.,Qto_DoorBaseQuantities,ENUM,0.265316129,1.326580645,3,Geometry,,Geometry,,Different,Fully Equivalent,3
actual riser height,"taking place in reality; not pretended or imitatedthe height between consecutive treads, or for ramps, the vertical distance between each end of the ramp flight.the vertical dimension of extension; distance from the base of something to the top",IfcStair,WaistThickness,"Minimum thickness of the stair flight, measured perpendicular to the slope of the flight to the inner corner of riser and tread. It is a pre-calculated value, in case of inconsistencies, the value derived from the shape representation shall take precedence.",Pset_StairCommon,IfcPositiveLengthMeasure,0.36737287,1.83686435,3.1,Geometry,Position and Topology ,Geometry,Position and Topology ,Different,Fully Equivalent,3
baluster offset,Offsets the balusters from the rail sketch line,IfcRailing,ConcreteCoverAtMainBars,The protective concrete cover at the main reinforcing bars according to local building regulations.,Pset_ConcreteElementGeneral,IfcPositiveLengthMeasure,0.261906475,1.309532375,0.5,Geometry,Position and Topology ,Structural Properties,,Different,Not Equivalent,1
symbol at end 2 default,Places a bubble by default at the right end of the level line.,IfcBuildingStorey,OutsideAirPerPerson,Design quantity of outside air to be provided per person in the space.,Pset_ThermalLoadDesignCriteria,IfcVolumetricFlowRateMeasure,0.283492446,1.41746223,1,Software-dependent Analytics,Position and Topology ,Facility Information,,Different,Not Equivalent,1
sill height,Specifies the height of the sill in relation to the level on which this instance is placed.,IfcDoor,MechanicalLoadRating,"Mechanical load rating for this object.
It is provided according to the national building code.",Pset_DoorCommon,IfcLabel,0.313839942,1.569199711,1.4,Position and Topology ,,Structural Properties,,Different,Not Equivalent,1
seat length,"Connections that join structural steel members with metal connectors, such as an angle upon which one member, such as a beam, rests.the longest dimension of something that is fixed in place",IfcBeam,ReinforcementAreaRatio,The required ratio of the effective area of the reinforcement to the effective area of the concrete At any section of a reinforced concrete structural element.,Pset_ConcreteElementGeneral,IfcAreaDensityMeasure,0.441865921,2.209329605,2.5,Structural Properties,Geometry,Geometry,Structural Properties,Different,Fully Equivalent,3
number of riser,"a symbol used to represent a numberused to indicate specific identity or a particular item within a categorythe height between consecutive treads, or for ramps, the vertical distance between each end of the ramp flight.",IfcStair,Reference,Reference ID for this specified type in this project,Pset_EnvironmentalImpactIndicators,IfcIdentifier,0.418896317,2.094481585,1,Position and Topology ,,Identity,,Different,Not Equivalent,1
model reference,"a model is a representation, often three-dimensional, of a structure system or procedure. It can represent something that already exists, or may be a model that it is intended will be adopted or followed.Reference ID for this specified type in this project (e.g. type 'A-1'), Also referred to as construction type. It should be provided as an alternative to the name of the ""object type""""",IfcWall,Compartmentation,Indication whether the object is designed to serve as a fire compartmentation (TRUE) or not (FALSE).,Pset_WallCommon,IfcBoolean,0.438048303,2.190241515,1,Identity,,Facility Information,Project Information,Different,Not Equivalent,1
text font,the main body of a written work (as distinct from illustrations or footnotes etc.)a specific size and style of type within a type family,IfcStair,ModelReference,The model number or designator of the product model (or product line) as assigned by the manufacturer of the manufactured item.,Pset_ManufacturerTypeInformation,IfcLabel,0.34201318,1.7100659,1.5,Software-dependent Analytics,,Identity,,Different,Not Equivalent,1
top be attach,"Indicates whether the wall top is attached to another model component, such as a roof or ceiling (read-only).",IfcWall,NetWeight,"Total net weight of the wall, without add-on parts, taking into account possible processing features (cut-out's, etc.) or openings and recesses.",Qto_WallBaseQuantities,ENUM,0.467313737,2.336568685,1.5,Geometry,Position and Topology ,Geometry,,Different,Partial Equivalent,2
riser height,"the height between consecutive treads, or for ramps, the vertical distance between each end of the ramp flight.the distance between the lowest and highest points of a person standing upright; stature:",IfcStair,WaistThickness,"Minimum thickness of the stair flight, measured perpendicular to the slope of the flight to the inner corner of riser and tread. It is a pre-calculated value, in case of inconsistencies, the value derived from the shape representation shall take precedence.",Pset_StairCommon,IfcPositiveLengthMeasure,0.272712797,1.363563985,3.3,Geometry,Position and Topology ,Geometry,Position and Topology ,Different,Fully Equivalent,3
trim stringers at top,"Trim Stringers at Top affects the top end of stringers on a stair run. If you select Do Not Trim, the stringer is cut with a single vertical cut resulting in a point at the top. If you select Match Level, the stringer is cut horizontally, making the top of the stringer flush with the top level. If you select Match Landing Stringer, a horizontal cut is made at the same height as the stringer top on landings. To see the effects of this parameter clearly, you may want to clear the check box for End with Riser.",IfcStair,AsBuiltLocationNumber,"Defines a unique location within a structure, the  slot into which the piece was installed. Where pieces share the same piece mark, they can be interchanged. The value is only known after erection.",Pset_PrecastConcreteElementFabrication,IfcLabel,0.375657916,1.87828958,1.5,Position and Topology ,Structural Properties,Position and Topology ,Project Information,Different,Partial Equivalent,2
relate to mass,Indicates that the element was created from a mass element. This is a read-only value.,IfcWall,IsExternal,Indication whether the element is designed for use in the exterior (TRUE) or not (FALSE). If (TRUE) it is an external element and faces the outside of the building.,Pset_WallCommon,IfcBoolean,0.431776762,2.15888381,1.5,Software-dependent Analytics,,Position and Topology ,Facility Information,"Same,Different Constrain",Not Equivalent,1
end attachment type,Either End Elevation or Distance. Specifies the elevation orientation of the beam. End Elevation maintains the placement level and Distance orients to the join location on a column. See About Adjusting the Beam Elevation at Column Join.,IfcBeam,DimensionalAccuracyClass,Classification designation of the dimensional accuracy requirement according to local standards.,Pset_ConcreteElementGeneral,IfcLabel,0.395978659,1.979893297,2.5,Geometry,Position and Topology ,Geometry,,Different,Partial Equivalent,2
level,"Defining different building levels is a way to analyse buildings by breaking them down into successively smaller or simpler units, e.g. into elements, components and materials.",IfcCovering,FlammabilityRating,"Flammability Rating for this object.
It is given according to the national building code that governs the rating of flammability for materials.",Pset_CoveringCommon,IfcLabel,0.288569689,1.442848445,2,Position and Topology ,,Identity,,Different,Not Equivalent,1
operation type,"Building operations consists of the activities necessary to operate, maintain, and manage buildings. This includes maintaining the HVAC systems, plumbing, electrical, and building system configuration.a number of things or persons sharing a particular characteristic, or set of characteristics, that causes them to be regarded as a group, more or less precisely defined or designated; class; category",IfcDoor,FireExit,"Indication whether this object is designed to serve as an exit in the case of fire (TRUE) or not (FALSE).
Here it defines an exit door in accordance to the national building code.",Pset_DoorCommon,IfcBoolean,0.343637556,1.71818778,2.5,Facility Information,,Facility Information,,Different,Fully Equivalent,3
glass pane material,The material for the glass panes in the window.,IfcWindow,Perimeter,Total perimeter of the outer lining of the window.,Qto_WindowBaseQuantities,ENUM,0.460908353,2.304541765,1.2,Material and Finish,Structural Properties,Geometry,,Different,Not Equivalent,1
start release,"Specifies the end release condition: either Fixed, Pinned, Bending Moment or User Defined. User Defined allows you to enable/disable each of the end release conditions.",IfcBeam,Span,"Clear span for this object.

The shape information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the shape properties, provided in the attached property, the geometric parameters take precedence. For geometry editing applications, like CAD: this value should be write-only.",Pset_BeamCommon,IfcPositiveLengthMeasure,0.40112707,2.005635351,1.5,Structural Properties,Position and Topology ,Geometry,,Different,Not Equivalent,1
stringer material,the structural member in a stairway that supports the treads and risers. the tangible substance that goes into the makeup of a physical object,IfcStair,ReinforcementAreaRatio,The required ratio of the effective area of the reinforcement to the effective area of the concrete At any section of a reinforced concrete structural element.,Pset_ConcreteElementGeneral,IfcAreaDensityMeasure,0.388024747,1.940123735,1,Position and Topology ,Material and Finish,Structural Properties,Geometry,Different,Not Equivalent,1
rail connections,"Cross members of panel doors or of a sash. Also, a wall or open balustrade placed at the edge of a staircase, walkway bridge, or elevated surface to prevent people from falling off.  Any relatively lightweight horizontal element, especially those found in fences (split rail).an instrumentality that connects or the state of being connected",IfcRailing,Diameter,"Diameter of the object. It is the diameter of the handrail of the railing.
The size information is provided in addition to the shape representation and the geometric parameters used within. In cases of inconsistency between the geometric parameters and the size properties, provided in the attached property set, the geometric parameters take precedence.
Here the diameter of the hand or guardrail within the railing.",Pset_RailingCommon,IfcPositiveLengthMeasure,0.488695741,2.443478705,1.5,Geometry,Structural Properties,Geometry,,Different,Partial Equivalent,2
